course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/3387#term_id=100451746,C4D/PS/CDR/AI新锐平面视觉设计 字体设计 logo设计 色彩版式,926人最近报名,云艺帆教育,免费,共5节
//ke.qq.com/course/112996#term_id=100451746,服装打版服装纸样服装制版教程-直播【山本教育】,466人最近报名,山本教育,免费,共9节
//ke.qq.com/course/275794#term_id=100451746,Web安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,5690人最近报名,,免费,共21节
//ke.qq.com/course/244499#term_id=100451746,西瓜爆款特训营——年度版,8472人购买,西瓜商学院,¥8762.22,共9节
,,5万人最近报名,咕泡教育,免费,共18节
,,827人最近报名,武百分教育,免费,共2节
//ke.qq.com/course/416017#term_id=100451746,Proe/Creo产品设计-结构设计（造型/工艺/开模图/工程图/仿真）,337人最近报名,,免费,共21节
//ke.qq.com/course/467939#term_id=100451746,武百分2020执业/助理医师资格考试血液系统考点精讲,5757人购买,武百分教育,¥17.22,共8节
//ke.qq.com/course/287319,Solidworks工业产品设计公开课,000人最近报名,乐仿,免费,共19节
//ke.qq.com/course/392355,Java架构师培养计划-Level one,312人购买,,¥9077.22,随到随学
//ke.qq.com/course/421232,Python编程/AI/人工智能/爬虫/数据分析/机器学习/深度学习,004人最近报名,灵犀教育,免费,共19节
//ke.qq.com/course/389574,日本语零基础从发音到『听说读写』样样通【三文猫日语】,5076人最近报名,三文猫,免费,共2节
//ke.qq.com/course/163704,千代手绳系统教学课程 初级基础班,355人购买,千代,¥3176.22,共181节
,,3480人最近报名,好摄帮课堂,免费,进度：3/5节
//ke.qq.com/course/388066,【体验班】3Dmax室外建筑表现/效果图/建筑动画/PS后期/全模渲染,864人最近报名,艺点点教育,免费,共58节
//ke.qq.com/course/243151,西瓜爆款特训营视频学习,829人购买,西瓜商学院,¥9762.22,共6节
,,590人最近报名,金尔森网校,免费,进度：1/1节
//ke.qq.com/course/23782,PROE CREO  从基础到高级【东湖教育】,755人最近报名,东湖教育,免费,共17节
,,552人购买,腾讯课堂NEXT学院,¥5377.22,共38节
//ke.qq.com/course/359177#term_id=100467824,Ps教程/平面设计/品牌logo/VI设计/海报设计/淘宝美工【直播】,5091人最近报名,51RGB在线教育,免费,共10节
//ke.qq.com/course/252357#term_id=100467824,懒人医考2020年执业医师考点讲解,5500人最近报名,懒人医考,免费,共3节
,,8654人购买,中艺影像,¥3762.22,共85节
//ke.qq.com/course/440539#term_id=100467824,抖音电商|抖音短视频推广|新媒体|淘宝客自媒体抖音上热门,5351人最近报名,魔贝课凡,免费,共12节
//ke.qq.com/course/324061#term_id=100467824,Ui设计零基础入门系列课ps/ai/icon/app【直播】,5469人最近报名,51RGB在线教育,免费,共10节
,,99人购买,晴教育,¥3762.22,课程16
//ke.qq.com/course/453197#term_id=100467824,C#/.Net/架构师/分布式/跨平台/微服务/系统架构/底层原理/框架,5853人最近报名,朝夕教育,免费,共65节
//ke.qq.com/course/282602#term_id=100467824,零基础入门到精通—三维游戏模型教学/手绘/次世代【云普集教育】,5233人最近报名,,免费,进度：12/15节
//ke.qq.com/course/431374#term_id=100467824,【巨皇教育】手淘首页淘宝小卖家，获取上万访客秘籍运营实操课程,5万人购买,,¥16.22,共4节
,,123人最近报名,,免费,共29节
,,5375人最近报名,,免费,2020-2-18开讲
//ke.qq.com/course/354884,后期修图课程合辑-中艺网校,8659人购买,中艺影像,¥3762.22,共63节
//ke.qq.com/course/155600,PS教程 免费 PhotoShop  美工教程 平面设计 淘宝装修 PS淘宝美工,8081人最近报名,,免费,进度：5/53节
//ke.qq.com/course/30561,室内设计3Dmax建模、效果图实战之零基础到高级,501人最近报名,云艺帆教育,免费,共10节
//ke.qq.com/course/253505,2020年中级会计师职称考试【中级会计实务-精讲班】 名师授课,909人购买,瑞云学堂,¥376.22,共27节
